SubjNum,Name,Start Time,End Time,Days of Week,Room,Building
ANSC599,Thesis Research,ARRANGED,,,,
ANTH101,Introduction to Anthropology,ARRANGED,,,,
ANTH102,Human Origins and Culture,ARRANGED,,,,
ANTH103,Anthro in a Changing World,ARRANGED,,,,
ANTH104,Talking Culture,12:00 PM,12:50 PM,F,209A,Davenport Hall
ANTH106,Hist Arch Americas,12:00 PM,12:50 PM,MWF,217,Noyes Laboratory
ANTH108,Religion &amp; Society in West I,11:00 AM,12:20 PM,TR,,
ANTH143,Biology of Human Behavior,ARRANGED,,,,
ANTH160,Race and Contemporary Social Issues,ARRANGED,,,,
ANTH180,The Archaeology of Death,3:00 PM,4:20 PM,MW,112,Gregory Hall
ANTH199,Undergraduate Open Seminar,ARRANGED,,,,
ANTH209,"Food, Culture, and Society",11:00 AM,12:20 PM,MW,212,1205 W Oregon
ANTH210,Families in Global Perspective,11:00 AM,12:20 PM,TR,,
ANTH220,Introduction to Archaeology,10:00 AM,10:50 AM,F,116,Davenport Hall
ANTH230,Sociocultural Anthropology,10:00 AM,10:50 AM,F,209A,Davenport Hall
ANTH241,Human Biological Variation,10:00 AM,10:50 AM,MWF,217,Gregory Hall
